,x_gnl,y_gnl,z_gnl,r_gnl,x_gt,y_gt,z_gt,r_gt,match_distance
53,101.91,-101.24,28.19,146.3894183334301,103.02234936312448,-103.35136965917334,32.567756151864074,149.51845645100826,4.985975518241637
54,-137.64,49.79,-2.83,146.3961153856208,-141.4764237381767,52.35117724247341,-2.3135460305118967,150.86940288757123,4.641605397791745
55,101.43,-100.9,-31.07,146.40423422838563,102.96821230319486,-101.81612723885243,-38.197964296736004,149.7600113089229,7.349371484896554
56,-90.65,111.62,28.07,146.50724145925346,-92.85943717018117,112.49392265777072,32.66581504701694,149.48181554684584,5.173670782638813
57,45.03,-26.12,137.14,146.68788259430292,45.14959177070812,-27.594887629531737,138.95618035021295,148.69022670595731,2.342670863750714
58,134.38,-49.96,-31.12,146.7052841584106,133.97980141613323,-50.86037584203227,-37.60747353427453,148.16101742337773,6.5618708019403105
59,-105.7,97.82,28.32,146.77624058409455,-107.67641907571699,98.97441221986314,32.943395104703185,149.91802019857855,5.158941968119116
60,139.81,-32.16,-31.26,146.8274133123648,138.95015689993357,-32.86589190933301,-38.04489012915847,147.76578297580215,6.875488899645293
61,-74.45,123.48,27.84,146.85087163513876,-76.77320572480734,123.57716915371311,32.83411640185825,149.1426198415456,5.508895108778215
62,-22.98,-53.06,135.0,146.86198963652916,-22.828025952576844,-54.55182526949194,138.59705258193927,150.68564428480087,3.8971048257675616
63,143.02,-13.26,-31.01,146.94273748641,142.32273766522357,-13.009293956585738,-37.59871089829366,147.77911370348102,6.630244308092723
64,87.1,-115.04,28.31,147.04444124141517,88.31496174432985,-116.87895880383,32.55205556256066,150.06618473299662,4.78047454947945
65,-118.46,82.75,27.92,147.1728932242619,-120.26020842358794,83.5844658294133,32.70790377082807,150.06227916153654,5.182770119108607
66,-143.55,32.34,-4.03,147.2029857034157,-147.01720702934458,33.72697256875559,-3.3313287819025534,150.87301147924333,3.799126078694231
67,86.7,-114.82,-31.33,147.2483999913072,88.66880870009544,-115.43071994084104,-38.3326930719331,150.5184510301047,7.299787449194137
68,91.41,97.45,62.43,147.4781187159641,88.19105710664542,93.3736935842241,68.49374261241957,145.5599600996254,7.984161935710386
69,-129.23,65.4,27.85,147.4895772588694,-131.04218670505026,66.6882072434511,32.497721244970386,150.58377591195716,5.152165692889726
70,51.16,-7.9,138.18,147.55835455845934,50.45310194314378,-9.317877584046999,139.06147493693751,148.22426302732305,1.8130305487164393
71,-125.07,-78.31,-4.3,147.62605122403025,-128.69334927577597,-81.72941712027628,-4.323747571949741,152.51350944655007,4.982131809163457
72,-83.85,-121.52,-3.51,147.68294755996712,-88.06091148229227,-125.23209092601698,-3.773242836367878,153.14058276726158,5.619670038856157
73,-113.57,-94.36,-3.59,147.69848543570106,-117.15618117581236,-98.24279103721099,-4.01737867719973,152.94886763201907,5.302774198296775
74,70.29,-126.81,28.72,147.80493428840595,72.13754111652827,-128.25605553211352,32.32205222277261,150.65907101428388,4.298751562349206
75,42.85,-141.45,-3.95,147.85069326858093,45.55214120094867,-144.76797064080432,-3.8173477353823912,151.81348765897178,4.281132194456508
76,-105.97,98.27,-31.52,147.91938412527279,-107.54784054818606,100.19713124193672,-37.99693913996099,151.8215086860154,6.939319580615042
77,-99.77,-109.14,-3.88,147.92108335190085,-103.25038475644666,-112.81515647141542,-3.688773949145233,152.9755161301053,5.065216732265114
78,-137.44,47.37,27.48,147.9487103695061,-138.64245081038186,48.12080650633588,32.50696835663811,150.31315370674932,5.22302682550886
79,-74.44,124.05,-31.61,148.08412541525172,-76.49975391620829,125.55690799490272,-37.581046288510954,151.7533674572663,6.493593125533628
80,-147.94,-5.79,-3.44,148.09321827821825,-150.93362825378662,-6.104230754388598,-2.8301272168682154,151.08352455188069,3.0712368681816273
81,48.84,12.69,139.24,148.10185447859863,48.46769035001702,10.839916563477248,138.89170945830998,147.50433131003263,1.9190439023109978
82,105.66,82.82,62.55,148.10702380373456,101.49362045641352,79.68284280428625,68.49285490936145,146.08758196492252,7.90683237747936
83,117.17,65.58,62.73,148.20458225034744,112.16557249387705,62.93170605101137,68.37510440176789,145.65943217424248,7.9953085751050885
84,-141.81,-43.05,-3.33,148.23787471493242,-145.4242177615982,-45.164441356650556,-2.995968282648998,152.30563253071665,4.200596322804954
85,98.71,48.53,99.42,148.26719596728063,92.61690014548108,44.9285164124856,103.66151516225992,146.08960094859745,8.251484759723835
86,-135.16,-60.94,-4.12,148.32020631053612,-138.1408156730258,-63.88804303421299,-3.8526271576204403,152.2478562527761,4.200917524180895
